"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"org.apache.fop.layoutmgr.inline.LeafNodeLayoutManager";"0.0";"0.0 ms";"0.0 ms";"133.133 ms";"133.133 ms";"7"
"java.lang.Thread";"0.0";"0.0 ms";"0.0 ms";"143754.813 ms";"71187.804 ms";"6"
"org.apache.fop.fo.flow.table.TableRow";"0.0";"0.0 ms";"0.0 ms";"105.124 ms";"105.124 ms";"6"
"org.apache.fop.area.inline.SpaceArea";"0.0";"0.0 ms";"0.0 ms";"114.453 ms";"114.453 ms";"6"
"org.apache.fop.fo.flow.ListItem";"0.0";"0.0 ms";"0.0 ms";"120.644 ms";"120.644 ms";"6"
"org.apache.xmlgraphics.ps.dsc.ResourceTracker";"0.0";"0.0 ms";"0.0 ms";"147.145 ms";"147.145 ms";"6"
"org.apache.xerces.parsers.SecuritySupport";"0.0";"0.0 ms";"0.0 ms";"104.61 ms";"104.61 ms";"6"
"org.apache.fop.traits.MinOptMax";"0.0";"0.0 ms";"0.0 ms";"156.555 ms";"156.555 ms";"6"
"java.util.HashSet";"0.0";"0.0 ms";"0.0 ms";"147.145 ms";"147.145 ms";"6"
"javax.xml.transform.FactoryFinder";"0.0";"0.0 ms";"0.0 ms";"38.183 ms";"38.183 ms";"5"
"org.apache.fop.fo.properties.BorderWidthPropertyMaker";"0.0";"0.0 ms";"0.0 ms";"98.109 ms";"98.109 ms";"5"
"java.lang.Double";"0.0";"0.0 ms";"0.0 ms";"101.21 ms";"101.21 ms";"5"
"org.apache.xerces.impl.XMLScanner";"0.0";"0.0 ms";"0.0 ms";"78.05 ms";"78.05 ms";"5"
"java.util.concurrent.ThreadPoolExecutor";"0.0";"0.0 ms";"0.0 ms";"95376.807 ms";"71187.804 ms";"5"
"org.apache.xerces.impl.XMLEntityManager";"0.0";"0.0 ms";"0.0 ms";"37.727 ms";"37.727 ms";"4"
"java.util.concurrent.ThreadPoolExecutor$Worker";"0.0";"0.0 ms";"0.0 ms";"95376.807 ms";"71187.804 ms";"4"
"org.apache.fop.render.PrintRenderer";"0.0";"0.0 ms";"0.0 ms";"83.438 ms";"83.438 ms";"4"
"java.io.ObjectInputStream";"0.0";"0.0 ms";"0.0 ms";"19.099 ms";"19.099 ms";"4"
"org.apache.fop.area.Area";"0.0";"0.0 ms";"0.0 ms";"74.036 ms";"74.036 ms";"4"
"java.net.URLClassLoader$2";"0.0";"0.0 ms";"0.0 ms";"40.512 ms";"40.512 ms";"4"
"sun.reflect.NativeMethodAccessorImpl";"0.0";"0.0 ms";"0.0 ms";"24480.457 ms";"24480.457 ms";"4"
"org.apache.fop.layoutmgr.Page";"0.0";"0.0 ms";"0.0 ms";"62.2 ms";"62.2 ms";"3"
"org.apache.xerces.parsers.SecuritySupport$6";"0.0";"0.0 ms";"0.0 ms";"61.764 ms";"61.764 ms";"3"
"org.apache.fop.fo.properties.FontSizePropertyMaker";"0.0";"0.0 ms";"0.0 ms";"61.95 ms";"61.95 ms";"3"
"org.apache.xerces.parsers.SecuritySupport$7";"0.0";"0.0 ms";"0.0 ms";"42.846 ms";"42.846 ms";"3"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler$$Lambda$4.1533812849";"0.0";"0.0 ms";"0.0 ms";"71187.804 ms";"71187.804 ms";"3"
"sun.rmi.transport.tcp.TCPTransport";"0.0";"0.0 ms";"0.0 ms";"71187.804 ms";"71187.804 ms";"3"
"org.apache.xmlgraphics.ps.PSProcSet";"0.0";"0.0 ms";"0.0 ms";"59.735 ms";"59.735 ms";"3"
"org.apache.xerces.util.SymbolTable$Entry";"0.0";"0.0 ms";"0.0 ms";"60.084 ms";"60.084 ms";"3"
"org.apache.fop.fo.flow.BasicLink";"0.0";"0.0 ms";"0.0 ms";"61.747 ms";"61.747 ms";"3"
"java.lang.AbstractStringBuilder";"0.0";"0.0 ms";"0.0 ms";"39.227 ms";"39.227 ms";"3"
"org.apache.fop.fo.properties.SpaceProperty$Maker";"0.0";"0.0 ms";"0.0 ms";"58.896 ms";"58.896 ms";"3"
"org.apache.fop.layoutmgr.TraitSetter";"0.0";"0.0 ms";"0.0 ms";"40.539 ms";"40.539 ms";"3"
"java.text.SimpleDateFormat";"0.0";"0.0 ms";"0.0 ms";"20.125 ms";"20.125 ms";"3"
"java.util.AbstractCollection";"0.0";"0.0 ms";"0.0 ms";"59.735 ms";"59.735 ms";"3"
"org.apache.fop.fonts.FontCache";"0.0";"0.0 ms";"0.0 ms";"19.812 ms";"19.812 ms";"3"
"java.util.Calendar";"0.0";"0.0 ms";"0.0 ms";"20.125 ms";"20.125 ms";"2"
"org.apache.xerces.impl.XMLVersionDetector";"0.0";"0.0 ms";"0.0 ms";"41.531 ms";"41.531 ms";"2"
"org.apache.fop.fo.flow.table.TableBody";"0.0";"0.0 ms";"0.0 ms";"38.557 ms";"38.557 ms";"2"
"org.apache.fop.fo.properties.CommonMarginInline";"0.0";"0.0 ms";"0.0 ms";"40.35 ms";"40.35 ms";"2"
"org.apache.fop.fo.flow.table.TableCellContainer";"0.0";"0.0 ms";"0.0 ms";"42.001 ms";"42.001 ms";"2"
"org.apache.fop.fo.FOPropertyMapping$2";"0.0";"0.0 ms";"0.0 ms";"40.11 ms";"40.11 ms";"2"
"java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"2"
"java.net.ServerSocket";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"2"
"sun.rmi.transport.tcp.TCPTransport$AcceptLoop";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"2"
"java.lang.ref.ReferenceQueue";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"2"
"org.dacapo.harness.TestHarness";"0.0";"0.0 ms";"0.0 ms";"24188.768 ms";"24188.768 ms";"2"
"java.io.ObjectStreamClass";"0.0";"0.0 ms";"0.0 ms";"19.099 ms";"19.099 ms";"2"
"org.apache.xmlgraphics.ps.dsc.events.AbstractResourcesDSCComment";"0.0";"0.0 ms";"0.0 ms";"20.286 ms";"20.286 ms";"2"
"org.apache.fop.fo.properties.FixedLength";"0.0";"0.0 ms";"0.0 ms";"20.072 ms";"20.072 ms";"2"
"org.apache.xerces.impl.XMLDocumentScannerImpl$XMLDeclDispatcher";"0.0";"0.0 ms";"0.0 ms";"37.019 ms";"37.019 ms";"2"
"java.util.jar.JarFile";"0.0";"0.0 ms";"0.0 ms";"20.49 ms";"20.49 ms";"2"
"sun.misc.URLClassPath$JarLoader";"0.0";"0.0 ms";"0.0 ms";"20.49 ms";"20.49 ms";"2"
"org.apache.fop.fo.properties.EnumNumber";"0.0";"0.0 ms";"0.0 ms";"39.997 ms";"39.997 ms";"2"
"org.apache.fop.fo.properties.NumberProperty$Maker";"0.0";"0.0 ms";"0.0 ms";"39.997 ms";"39.997 ms";"2"
"org.apache.fop.fo.pagination.SimplePageMaster";"0.0";"0.0 ms";"0.0 ms";"42.164 ms";"42.164 ms";"2"
"org.apache.fop.fo.flow.table.TableColumn";"0.0";"0.0 ms";"0.0 ms";"39.645 ms";"39.645 ms";"2"
"org.apache.xerces.parsers.AbstractXMLDocumentParser";"0.0";"0.0 ms";"0.0 ms";"39.645 ms";"39.645 ms";"2"
"javax.xml.transform.TransformerFactory";"0.0";"0.0 ms";"0.0 ms";"38.183 ms";"38.183 ms";"2"
"org.apache.fop.render.ps.PSDictionary";"0.0";"0.0 ms";"0.0 ms";"35.849 ms";"35.849 ms";"2"
"org.apache.fop.render.ps.PSPageDeviceDictionary";"0.0";"0.0 ms";"0.0 ms";"35.849 ms";"35.849 ms";"2"
"org.apache.fop.fo.properties.StringProperty";"0.0";"0.0 ms";"0.0 ms";"38.595 ms";"38.595 ms";"2"
"org.apache.fop.fo.properties.NumberProperty";"0.0";"0.0 ms";"0.0 ms";"40.449 ms";"40.449 ms";"2"
"org.apache.fop.apps.Fop";"0.0";"0.0 ms";"0.0 ms";"19.931 ms";"19.931 ms";"2"
"sun.management.jmxremote.LocalRMIServerSocketFactory$1";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"org.apache.fop.fo.FOElementMapping$TableRowMaker";"0.0";"0.0 ms";"0.0 ms";"21.452 ms";"21.452 ms";"1"
"java.lang.ref.Finalizer$FinalizerThread";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"java.lang.ref.Reference";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"java.lang.ref.Reference$ReferenceHandler";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"Harness";"0.0";"0.0 ms";"0.0 ms";"24188.768 ms";"24188.768 ms";"1"
"sun.rmi.server.UnicastRef";"0.0";"0.0 ms";"0.0 ms";"19.099 ms";"19.099 ms";"1"
"java.io.ExpiringCache";"0.0";"0.0 ms";"0.0 ms";"17.48 ms";"17.48 ms";"1"
"javax.xml.transform.SecuritySupport$4";"0.0";"0.0 ms";"0.0 ms";"19.597 ms";"19.597 ms";"1"
"javax.xml.transform.SecuritySupport";"0.0";"0.0 ms";"0.0 ms";"19.597 ms";"19.597 ms";"1"
"org.dacapo.harness.DacapoClassLoader";"0.0";"0.0 ms";"0.0 ms";"20.472 ms";"20.472 ms";"1"
"java.lang.Float";"0.0";"0.0 ms";"0.0 ms";"19.375 ms";"19.375 ms";"1"
"org.apache.xmlgraphics.ps.dsc.events.DSCCommentPageResources";"0.0";"0.0 ms";"0.0 ms";"20.286 ms";"20.286 ms";"1"
"org.apache.xerces.impl.XMLEntityManager$ScannedEntity";"0.0";"0.0 ms";"0.0 ms";"18.678 ms";"18.678 ms";"1"
"org.dacapo.harness.CommandLineArgs";"0.0";"0.0 ms";"0.0 ms";"3.905 ms";"3.905 ms";"1"
"java.text.Format";"0.0";"0.0 ms";"0.0 ms";"20.61 ms";"20.61 ms";"1"
"org.apache.fop.fo.properties.KeepProperty";"0.0";"0.0 ms";"0.0 ms";"20.185 ms";"20.185 ms";"1"
"org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher";"0.0";"0.0 ms";"0.0 ms";"19.816 ms";"19.816 ms";"1"
"org.apache.fop.fo.flow.ListBlock";"0.0";"0.0 ms";"0.0 ms";"21.239 ms";"21.239 ms";"1"
"org.apache.fop.fo.FOElementMapping$ListBlockMaker";"0.0";"0.0 ms";"0.0 ms";"21.239 ms";"21.239 ms";"1"
"org.apache.fop.layoutmgr.KnuthPossPosIter";"0.0";"0.0 ms";"0.0 ms";"20.228 ms";"20.228 ms";"1"
"sun.reflect.GeneratedMethodAccessor36";"0.0";"0.0 ms";"0.0 ms";"3.841 ms";"3.841 ms";"1"
"org.apache.fop.fo.FOTreeBuilder$1";"0.0";"0.0 ms";"0.0 ms";"20.129 ms";"20.129 ms";"1"
"org.apache.fop.fo.flow.ListItemBody";"0.0";"0.0 ms";"0.0 ms";"18.836 ms";"18.836 ms";"1"
"java.io.PrintWriter";"0.0";"0.0 ms";"0.0 ms";"18.586 ms";"18.586 ms";"1"
"org.apache.xml.utils.DefaultErrorHandler";"0.0";"0.0 ms";"0.0 ms";"18.586 ms";"18.586 ms";"1"
"org.apache.xalan.processor.TransformerFactoryImpl";"0.0";"0.0 ms";"0.0 ms";"18.586 ms";"18.586 ms";"1"
"sun.reflect.GeneratedConstructorAccessor16";"0.0";"0.0 ms";"0.0 ms";"18.586 ms";"18.586 ms";"1"
"sun.reflect.DelegatingConstructorAccessorImpl";"0.0";"0.0 ms";"0.0 ms";"18.586 ms";"18.586 ms";"1"
"java.lang.reflect.Constructor";"0.0";"0.0 ms";"0.0 ms";"18.586 ms";"18.586 ms";"1"
"org.apache.fop.layoutmgr.LayoutManagerMapping$PageNumberLayoutManagerMaker";"0.0";"0.0 ms";"0.0 ms";"19.416 ms";"19.416 ms";"1"
"sun.util.locale.provider.CalendarProviderImpl";"0.0";"0.0 ms";"0.0 ms";"20.125 ms";"20.125 ms";"1"
"org.apache.fop.fonts.base14.Symbol";"0.0";"0.0 ms";"0.0 ms";"14.526 ms";"14.526 ms";"1"
"java.net.PlainSocketImpl";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"java.net.AbstractPlainSocketImpl";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"java.util.concurrent.locks.LockSupport";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"com.sun.jmx.remote.internal.ServerCommunicatorAdmin$Timeout";"0.0";"0.0 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
