sep=;
"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"avrora.arch.legacy.LegacyInstr$IN.accept()";"0.0";"0.0 ms";"0.0 ms";"458.65 ms";"458.65 ms";"22"
"cck.text.Status.begin()";"0.0";"0.0 ms";"0.0 ms";"410.984 ms";"410.984 ms";"20"
"avrora.sim.radio.CC1000Radio$SerialConfigurationInterface.access$200()";"0.0";"0.0 ms";"0.0 ms";"362.341 ms";"340.765 ms";"18"
"avrora.sim.radio.CC1000Radio$SerialConfigurationInterface$PCLKOutput.write()";"0.0";"0.0 ms";"0.0 ms";"362.341 ms";"340.765 ms";"18"
"avrora.sim.radio.CC1000Radio$SerialConfigurationInterface.clockInBit()";"0.0";"0.0 ms";"0.0 ms";"362.341 ms";"340.765 ms";"18"
"sun.reflect.NativeMethodAccessorImpl.invoke()";"0.0";"0.0 ms";"0.0 ms";"344670.795 ms";"3921.827 ms";"16"
"java.io.ObjectOutputStream.defaultWriteFields()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"16"
"sun.reflect.NativeMethodAccessorImpl.invoke0[native]()";"0.0";"0.0 ms";"0.0 ms";"344670.795 ms";"3921.827 ms";"16"
"cck.text.StringUtil.justify()";"0.0";"0.0 ms";"0.0 ms";"238.576 ms";"238.576 ms";"16"
"java.io.ObjectOutputStream.writeArray()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"15"
"java.io.BufferedOutputStream.flushBuffer()";"0.0";"0.0 ms";"0.0 ms";"244.45 ms";"244.45 ms";"14"
"avrora.sim.radio.Medium$Receiver.access$200()";"0.0";"0.0 ms";"0.0 ms";"282.291 ms";"220.078 ms";"14"
"avrora.sim.radio.CC1000Radio$SPITicker.fire()";"0.0";"0.0 ms";"0.0 ms";"292.181 ms";"292.181 ms";"14"
"java.util.TreeMap.writeObject()";"0.0";"0.0 ms";"0.0 ms";"267.965 ms";"267.965 ms";"13"
"avrora.sim.output.SimPrinter.getBuffer()";"0.0";"0.0 ms";"0.0 ms";"258.618 ms";"258.618 ms";"13"
"sun.rmi.server.UnicastRef.marshalValue()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"13"
"sun.reflect.GeneratedMethodAccessor3.invoke()";"0.0";"0.0 ms";"0.0 ms";"267.965 ms";"267.965 ms";"13"
"avrora.sim.radio.CC1000Radio$MainRegister.decode()";"0.0";"0.0 ms";"0.0 ms";"260.259 ms";"238.683 ms";"13"
"java.io.ObjectStreamClass.invokeWriteObject()";"0.0";"0.0 ms";"0.0 ms";"267.965 ms";"267.965 ms";"13"
"avrora.sim.util.SimUtil.getIDTimeString()";"0.0";"0.0 ms";"0.0 ms";"238.576 ms";"238.576 ms";"12"
"avrora.sim.radio.Medium$Receiver.access$100()";"0.0";"0.0 ms";"0.0 ms";"239.791 ms";"220.189 ms";"12"
"avrora.sim.util.SimUtil.toIDTimeString()";"0.0";"0.0 ms";"0.0 ms";"238.576 ms";"238.576 ms";"12"
"java.io.BufferedOutputStream.flush()";"0.0";"0.0 ms";"0.0 ms";"206.706 ms";"206.706 ms";"12"
"avrora.sim.mcu.Timer8Bit.tickerFinish()";"0.0";"0.0 ms";"0.0 ms";"246.605 ms";"246.605 ms";"11"
"avrora.sim.clock.DerivedClock.insertEvent()";"0.0";"0.0 ms";"0.0 ms";"246.605 ms";"246.605 ms";"11"
"java.net.SocketOutputStream.write()";"0.0";"0.0 ms";"0.0 ms";"195.271 ms";"195.271 ms";"11"
"java.net.SocketOutputStream.socketWrite()";"0.0";"0.0 ms";"0.0 ms";"195.271 ms";"195.271 ms";"11"
"avrora.sim.mcu.Timer8Bit$Mode_CTC.fire()";"0.0";"0.0 ms";"0.0 ms";"246.605 ms";"246.605 ms";"11"
"avrora.sim.mcu.Timer8Bit.access$100()";"0.0";"0.0 ms";"0.0 ms";"246.605 ms";"246.605 ms";"11"
"org.dacapo.harness.TeeOutputStream.closeLog()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"avrora.sim.radio.Medium$Receiver.endReceive()";"0.0";"0.0 ms";"0.0 ms";"199.357 ms";"177.781 ms";"10"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$NonNullMXBeanMapping.toOpenValue()";"0.0";"0.0 ms";"0.0 ms";"83.575 ms";"83.575 ms";"10"
"java.io.ObjectOutputStream$HandleTable.hash()";"0.0";"0.0 ms";"0.0 ms";"210.431 ms";"210.431 ms";"10"
"java.io.FileDescriptor.closeAll()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"java.io.FileOutputStream$1.close()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"java.io.ObjectOutputStream$HandleTable.lookup()";"0.0";"0.0 ms";"0.0 ms";"210.431 ms";"210.431 ms";"10"
"org.dacapo.harness.Benchmark.stopIteration()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"org.dacapo.harness.TeePrintStream.closeLog()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"java.io.FileOutputStream.access$000()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"cck.elf.ELFDataInputStream.read_Elf32_Addr()";"0.0";"0.0 ms";"0.0 ms";"202.051 ms";"202.051 ms";"10"
"java.io.FileOutputStream.close()";"0.0";"0.0 ms";"0.0 ms";"269.76 ms";"269.76 ms";"10"
"cck.elf.ELFSectionHeaderTable.read()";"0.0";"0.0 ms";"0.0 ms";"178.311 ms";"178.311 ms";"9"
"cck.elf.ELFLoader.readSHT()";"0.0";"0.0 ms";"0.0 ms";"178.311 ms";"178.311 ms";"9"
"avrora.actions.SimAction.printSimHeader()";"0.0";"0.0 ms";"0.0 ms";"170.261 ms";"170.261 ms";"8"
"java.io.FileOutputStream.<init>()";"0.0";"0.0 ms";"0.0 ms";"61.306 ms";"61.306 ms";"8"
"cck.elf.ELFDataInputStream.read_Elf32_Half()";"0.0";"0.0 ms";"0.0 ms";"169.378 ms";"169.378 ms";"8"
"cck.elf.ELFDataInputStream.read_2()";"0.0";"0.0 ms";"0.0 ms";"169.378 ms";"169.378 ms";"8"
"avrora.arch.legacy.LegacyInstr$OUT.accept()";"0.0";"0.0 ms";"0.0 ms";"131.887 ms";"131.887 ms";"7"
"java.lang.Thread.run()";"0.0";"0.0 ms";"0.0 ms";"1899226.04 ms";"746453.087 ms";"7"
"avrora.sim.Simulation.start()";"0.0";"0.0 ms";"0.0 ms";"144.366 ms";"144.366 ms";"7"
"avrora.sim.AtmelInterpreter.writeIORegisterByte()";"0.0";"0.0 ms";"0.0 ms";"131.887 ms";"131.887 ms";"7"
"org.dacapo.harness.Benchmark.postIterationCleanup()";"0.0";"0.0 ms";"0.0 ms";"53.631 ms";"53.631 ms";"6"
"org.dacapo.harness.Benchmark.postIteration()";"0.0";"0.0 ms";"0.0 ms";"53.631 ms";"53.631 ms";"6"
"avrora.sim.AtmelInterpreter.getInstr()";"0.0";"0.0 ms";"0.0 ms";"119.154 ms";"119.154 ms";"6"
"avrora.sim.AtmelInterpreter.getInstrSize()";"0.0";"0.0 ms";"0.0 ms";"119.154 ms";"119.154 ms";"6"
"org.dacapo.harness.Benchmark.deleteFile()";"0.0";"0.0 ms";"0.0 ms";"53.631 ms";"53.631 ms";"6"
"java.lang.Exception.<init>()";"0.0";"0.0 ms";"0.0 ms";"133.985 ms";"133.985 ms";"5"
"java.io.ObjectOutputStream.flush()";"0.0";"0.0 ms";"0.0 ms";"79.519 ms";"79.519 ms";"5"
"sun.rmi.transport.StreamRemoteCall.releaseOutputStream()";"0.0";"0.0 ms";"0.0 ms";"79.519 ms";"79.519 ms";"5"
"avrora.Main.title()";"0.0";"0.0 ms";"0.0 ms";"96.578 ms";"96.578 ms";"5"
"avrora.Main.banner()";"0.0";"0.0 ms";"0.0 ms";"96.578 ms";"96.578 ms";"5"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping.toNonNullOpenValue()";"0.0";"0.0 ms";"0.0 ms";"83.575 ms";"83.575 ms";"5"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping.toNonNullOpenValue()";"0.0";"0.0 ms";"0.0 ms";"83.575 ms";"83.575 ms";"5"
"avrora.syntax.elf.ELFParser.loadSections()";"0.0";"0.0 ms";"0.0 ms";"101.895 ms";"101.895 ms";"5"
"java.lang.System.setOut()";"0.0";"0.0 ms";"0.0 ms";"60.056 ms";"60.056 ms";"5"
"java.io.WinNTFileSystem.delete()";"0.0";"0.0 ms";"0.0 ms";"35.52 ms";"35.52 ms";"5"
"java.util.concurrent.ThreadPoolExecutor.runWorker()";"0.0";"0.0 ms";"0.0 ms";"1210478.284 ms";"746105.583 ms";"5"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()";"0.0";"0.0 ms";"0.0 ms";"1210478.284 ms";"746105.583 ms";"5"
"avrora.sim.Simulation.instantiateNodes()";"0.0";"0.0 ms";"0.0 ms";"102.83 ms";"102.83 ms";"5"
"java.io.File.delete()";"0.0";"0.0 ms";"0.0 ms";"35.52 ms";"35.52 ms";"5"
"avrora.sim.types.SensorSimulation$SensorNode.createNode()";"0.0";"0.0 ms";"0.0 ms";"102.83 ms";"102.83 ms";"5"
"avrora.sim.types.SensorSimulation$SensorNode.instantiate()";"0.0";"0.0 ms";"0.0 ms";"102.83 ms";"102.83 ms";"5"
"avrora.monitors.PacketMonitor$Mon.appendTime()";"0.0";"0.0 ms";"0.0 ms";"103.742 ms";"103.742 ms";"5"
"java.io.ObjectOutputStream$BlockDataOutputStream.flush()";"0.0";"0.0 ms";"0.0 ms";"79.519 ms";"79.519 ms";"5"
"javax.management.openmbean.CompositeDataSupport.<init>()";"0.0";"0.0 ms";"0.0 ms";"83.575 ms";"83.575 ms";"5"
"java.util.AbstractList.listIterator()";"0.0";"0.0 ms";"0.0 ms";"99.656 ms";"99.656 ms";"5"
"java.util.AbstractSequentialList.iterator()";"0.0";"0.0 ms";"0.0 ms";"99.656 ms";"99.656 ms";"5"
"java.lang.Throwable.fillInStackTrace()";"0.0";"0.0 ms";"0.0 ms";"133.985 ms";"133.985 ms";"5"
"java.lang.Throwable.<init>()";"0.0";"0.0 ms";"0.0 ms";"133.985 ms";"133.985 ms";"5"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()";"0.0";"0.0 ms";"0.0 ms";"746105.583 ms";"746105.583 ms";"4"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler$$Lambda$3.1723803415.run()";"0.0";"0.0 ms";"0.0 ms";"746105.583 ms";"746105.583 ms";"4"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.lambda$run$0()";"0.0";"0.0 ms";"0.0 ms";"746105.583 ms";"746105.583 ms";"4"
"sun.rmi.transport.tcp.TCPConnection.releaseOutputStream()";"0.0";"0.0 ms";"0.0 ms";"78.008 ms";"78.008 ms";"4"
"java.io.File.exists()";"0.0";"0.0 ms";"0.0 ms";"82.47 ms";"82.47 ms";"4"
"org.dacapo.harness.Callback.complete()";"0.0";"0.0 ms";"0.0 ms";"43.948 ms";"43.948 ms";"4"
"java.lang.AbstractStringBuilder.append()";"0.0";"0.0 ms";"0.0 ms";"83.082 ms";"83.082 ms";"4"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run0()";"0.0";"0.0 ms";"0.0 ms";"746105.583 ms";"746105.583 ms";"4"
"sun.rmi.transport.tcp.TCPTransport.handleMessages()";"0.0";"0.0 ms";"0.0 ms";"746105.583 ms";"746105.583 ms";"4"
"java.lang.AbstractStringBuilder.ensureCapacityInternal()";"0.0";"0.0 ms";"0.0 ms";"83.082 ms";"83.082 ms";"4"
"cck.text.TermUtil.printSeparator()";"0.0";"0.0 ms";"0.0 ms";"86.14 ms";"86.14 ms";"4"
"sun.nio.cs.SingleByte.access$000()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"sun.nio.cs.SingleByte$Encoder.encodeArrayLoop()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"sun.nio.cs.StreamEncoder.implWrite()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"sun.nio.cs.StreamEncoder.write()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"java.io.OutputStreamWriter.write()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"java.io.BufferedWriter.flushBuffer()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"org.dacapo.harness.TeePrintStream.openLog()";"0.0";"0.0 ms";"0.0 ms";"61.306 ms";"61.306 ms";"4"
"org.dacapo.harness.TeeOutputStream.openLog()";"0.0";"0.0 ms";"0.0 ms";"61.306 ms";"61.306 ms";"4"
"org.dacapo.harness.TeeOutputStream.newLog()";"0.0";"0.0 ms";"0.0 ms";"61.306 ms";"61.306 ms";"4"
"sun.nio.cs.SingleByte$Encoder.encodeLoop()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"java.nio.charset.CharsetEncoder.encode()";"0.0";"0.0 ms";"0.0 ms";"79.02 ms";"79.02 ms";"4"
"java.io.FileOutputStream.open()";"0.0";"0.0 ms";"0.0 ms";"61.306 ms";"61.306 ms";"4"
"sun.management.ThreadImpl.getThreadInfo()";"0.0";"0.0 ms";"0.0 ms";"75.62 ms";"75.62 ms";"4"
"sun.reflect.GeneratedMethodAccessor41.invoke()";"0.0";"0.0 ms";"0.0 ms";"75.62 ms";"75.62 ms";"4"
"java.lang.RuntimeException.<init>()";"0.0";"0.0 ms";"0.0 ms";"114.628 ms";"114.628 ms";"4"
"avrora.actions.SimAction$TimeoutException.<init>()";"0.0";"0.0 ms";"0.0 ms";"114.628 ms";"114.628 ms";"4"
"avrora.sim.util.ClockCycleTimeout.fire()";"0.0";"0.0 ms";"0.0 ms";"114.628 ms";"114.628 ms";"4"
"avrora.actions.SimAction.exitSimulation()";"0.0";"0.0 ms";"0.0 ms";"96.159 ms";"96.159 ms";"4"
"avrora.actions.SimAction.report()";"0.0";"0.0 ms";"0.0 ms";"96.159 ms";"96.159 ms";"4"
"avrora.arch.legacy.LegacyInstr$SBRC.accept()";"0.0";"0.0 ms";"0.0 ms";"78.154 ms";"78.154 ms";"4"
"avrora.actions.SimAction.reportMonitors()";"0.0";"0.0 ms";"0.0 ms";"96.159 ms";"96.159 ms";"4"
"avrora.monitors.PacketMonitor$Mon.report()";"0.0";"0.0 ms";"0.0 ms";"96.159 ms";"96.159 ms";"4"
"cck.elf.ELFDataInputStream.read_Elf32_uchar()";"0.0";"0.0 ms";"0.0 ms";"81.424 ms";"81.424 ms";"4"
"avrora.sim.Simulation$Node.instantiate()";"0.0";"0.0 ms";"0.0 ms";"83.109 ms";"83.109 ms";"4"
"avrora.sim.platform.Mica2$Factory.newPlatform()";"0.0";"0.0 ms";"0.0 ms";"83.109 ms";"83.109 ms";"4"
"java.util.concurrent.locks.LockSupport.parkNanos()";"0.0";"0.0 ms";"0.0 ms";"464372.699 ms";"0.0 ms";"3"
"avrora.sim.mcu.ATMega128.<init>()";"0.0";"0.0 ms";"0.0 ms";"60.857 ms";"60.857 ms";"3"
"avrora.sim.mcu.ATMega128.installDevices()";"0.0";"0.0 ms";"0.0 ms";"60.857 ms";"60.857 ms";"3"
"cck.text.TermUtil.printThinSeparator()";"0.0";"0.0 ms";"0.0 ms";"73.557 ms";"73.557 ms";"3"
"javax.management.openmbean.CompositeDataSupport.makeMap()";"0.0";"0.0 ms";"0.0 ms";"63.269 ms";"63.269 ms";"3"
"avrora.syntax.elf.ELFParser.disassembleSection()";"0.0";"0.0 ms";"0.0 ms";"59.9 ms";"59.9 ms";"3"
"avrora.arch.legacy.LegacyDisassembler.disassemble()";"0.0";"0.0 ms";"0.0 ms";"59.9 ms";"59.9 ms";"3"
"avrora.arch.legacy.LegacyDisassembler.disassembleLegacy()";"0.0";"0.0 ms";"0.0 ms";"59.9 ms";"59.9 ms";"3"
"avrora.arch.legacy.LegacyDisassembler.decode_root()";"0.0";"0.0 ms";"0.0 ms";"59.9 ms";"59.9 ms";"3"
"sun.reflect.GeneratedMethodAccessor29.invoke()";"0.0";"0.0 ms";"0.0 ms";"64.163 ms";"64.163 ms";"3"
"javax.management.remote.rmi.RMIConnectionImpl.getAttribute()";"0.0";"0.0 ms";"0.0 ms";"64.163 ms";"64.163 ms";"3"
"avrora.sim.clock.MainClock.removeEvent()";"0.0";"0.0 ms";"0.0 ms";"58.257 ms";"58.257 ms";"3"
"avrora.sim.clock.DeltaQueue.removeEvent()";"0.0";"0.0 ms";"0.0 ms";"58.257 ms";"58.257 ms";"3"
"cck.text.Terminal.printGreen()";"0.0";"0.0 ms";"0.0 ms";"61.017 ms";"61.017 ms";"3"
"java.io.ObjectInputStream.readObject0()";"0.0";"0.0 ms";"0.0 ms";"40.741 ms";"40.741 ms";"3"
"cck.text.Terminal.printBrightBlue()";"0.0";"0.0 ms";"0.0 ms";"57.435 ms";"57.435 ms";"3"
"avrora.sim.radio.Medium$Transmitter.beginTransmit()";"0.0";"0.0 ms";"0.0 ms";"60.902 ms";"60.902 ms";"3"
"avrora.Main.checkFileExists()";"0.0";"0.0 ms";"0.0 ms";"64.359 ms";"64.359 ms";"3"
"avrora.sim.FiniteStateMachine.fireBefore()";"0.0";"0.0 ms";"0.0 ms";"58.372 ms";"58.372 ms";"3"
"java.net.ServerSocket.accept()";"0.0";"0.0 ms";"0.0 ms";"344026.374 ms";"0.0 ms";"3"
"java.net.ServerSocket.implAccept()";"0.0";"0.0 ms";"0.0 ms";"344026.374 ms";"0.0 ms";"3"
"java.net.PlainSocketImpl.accept()";"0.0";"0.0 ms";"0.0 ms";"344026.374 ms";"0.0 ms";"3"
"java.net.AbstractPlainSocketImpl.accept()";"0.0";"0.0 ms";"0.0 ms";"344026.374 ms";"0.0 ms";"3"
"java.net.DualStackPlainSocketImpl.socketAccept()";"0.0";"0.0 ms";"0.0 ms";"344026.374 ms";"0.0 ms";"3"
"java.util.concurrent.ThreadPoolExecutor.getTask()";"0.0";"0.0 ms";"0.0 ms";"464372.699 ms";"0.0 ms";"3"
"java.util.TreeMap.containsKey()";"0.0";"0.0 ms";"0.0 ms";"44.344 ms";"44.344 ms";"2"
"sun.reflect.GeneratedMethodAccessor33.invoke()";"0.0";"0.0 ms";"0.0 ms";"30.14 ms";"30.14 ms";"2"
"javax.management.remote.rmi.RMIConnectionImpl.getAttributes()";"0.0";"0.0 ms";"0.0 ms";"30.14 ms";"30.14 ms";"2"
"java.util.concurrent.SynchronousQueue.poll()";"0.0";"0.0 ms";"0.0 ms";"119998.821 ms";"0.0 ms";"2"
"java.util.concurrent.SynchronousQueue$TransferStack.transfer()";"0.0";"0.0 ms";"0.0 ms";"119998.821 ms";"0.0 ms";"2"
"java.util.concurrent.SynchronousQueue$TransferStack.awaitFulfill()";"0.0";"0.0 ms";"0.0 ms";"119998.821 ms";"0.0 ms";"2"
"avrora.arch.legacy.LegacyDisassembler.decode_root0()";"0.0";"0.0 ms";"0.0 ms";"40.542 ms";"40.542 ms";"2"
"sun.rmi.server.UnicastServerRef.unmarshalParameters()";"0.0";"0.0 ms";"0.0 ms";"39.753 ms";"39.753 ms";"2"
"sun.rmi.server.UnicastServerRef.unmarshalParametersUnchecked()";"0.0";"0.0 ms";"0.0 ms";"39.753 ms";"39.753 ms";"2"
"java.io.ObjectOutputStream$BlockDataOutputStream.drain()";"0.0";"0.0 ms";"0.0 ms";"37.744 ms";"37.744 ms";"2"
"java.io.BufferedOutputStream.write()";"0.0";"0.0 ms";"0.0 ms";"37.744 ms";"37.744 ms";"2"
"cck.elf.ELFLoader.readPHT()";"0.0";"0.0 ms";"0.0 ms";"40.621 ms";"40.621 ms";"2"
"cck.elf.ELFProgramHeaderTable.read()";"0.0";"0.0 ms";"0.0 ms";"40.621 ms";"40.621 ms";"2"
"javax.management.remote.rmi.RMIConnectionImpl.unwrap()";"0.0";"0.0 ms";"0.0 ms";"20.822 ms";"20.822 ms";"2"
"java.io.ObjectInputStream.readObject()";"0.0";"0.0 ms";"0.0 ms";"40.741 ms";"40.741 ms";"2"
"java.io.ObjectInputStream.readArray()";"0.0";"0.0 ms";"0.0 ms";"20.822 ms";"20.822 ms";"2"
"java.io.ObjectInputStream.readClassDesc()";"0.0";"0.0 ms";"0.0 ms";"40.741 ms";"40.741 ms";"2"
"java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take()";"0.0";"0.0 ms";"0.0 ms";"344373.878 ms";"0.0 ms";"2"
"java.net.NetworkInterface.getNetworkInterfaces()";"0.0";"0.0 ms";"0.0 ms";"347.504 ms";"347.504 ms";"2"
"java.io.ObjectInputStream.readNonProxyDesc()";"0.0";"0.0 ms";"0.0 ms";"40.741 ms";"40.741 ms";"2"
"sun.rmi.server.MarshalInputStream.resolveClass()";"0.0";"0.0 ms";"0.0 ms";"40.741 ms";"40.741 ms";"2"
"org.dacapo.harness.Callback.start()";"0.0";"0.0 ms";"0.0 ms";"5.232 ms";"5.232 ms";"2"
"java.lang.ref.ReferenceQueue.remove()";"0.0";"0.0 ms";"0.0 ms";"344373.878 ms";"0.0 ms";"2"
"sun.rmi.server.LoaderHandler.loadClass()";"0.0";"0.0 ms";"0.0 ms";"19.919 ms";"19.919 ms";"2"
"avrora.sim.clock.RippleSynchronizer.start()";"0.0";"0.0 ms";"0.0 ms";"41.536 ms";"41.536 ms";"2"
"java.lang.Thread.start()";"0.0";"0.0 ms";"0.0 ms";"41.536 ms";"41.536 ms";"2"
"com.sun.jmx.mbeanserver.JmxMBeanServer.getAttribute()";"0.0";"0.0 ms";"0.0 ms";"43.66 ms";"43.66 ms";"2"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.getAttribute()";"0.0";"0.0 ms";"0.0 ms";"43.66 ms";"43.66 ms";"2"
"javax.management.StandardMBean.getAttribute()";"0.0";"0.0 ms";"0.0 ms";"43.66 ms";"43.66 ms";"2"
"com.sun.jmx.mbeanserver.MBeanSupport.getAttribute()";"0.0";"0.0 ms";"0.0 ms";"43.66 ms";"43.66 ms";"2"
"com.sun.jmx.mbeanserver.PerInterface.getAttribute()";"0.0";"0.0 ms";"0.0 ms";"43.66 ms";"43.66 ms";"2"
"avrora.sim.AtmelInterpreter.advanceClock()";"0.0";"0.0 ms";"0.0 ms";"39.316 ms";"39.316 ms";"2"
"java.lang.Thread.init()";"0.0";"0.0 ms";"0.0 ms";"19.721 ms";"19.721 ms";"2"
"avrora.arch.legacy.LegacyInstr$SBRS.accept()";"0.0";"0.0 ms";"0.0 ms";"41.0 ms";"41.0 ms";"2"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeUTF()";"0.0";"0.0 ms";"0.0 ms";"19.789 ms";"19.789 ms";"2"
"avrora.syntax.elf.ELFParser.createProgram()";"0.0";"0.0 ms";"0.0 ms";"41.994 ms";"41.994 ms";"2"
"sun.rmi.transport.tcp.TCPTransport$AcceptLoop.run()";"0.0";"0.0 ms";"0.0 ms";"344373.878 ms";"347.504 ms";"1"
"java.io.ObjectOutputStream$BlockDataOutputStream.setBlockDataMode()";"0.0";"0.0 ms";"0.0 ms";"18.387 ms";"18.387 ms";"1"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.getMBean()";"0.0";"0.0 ms";"0.0 ms";"12.937 ms";"12.937 ms";"1"
"sun.rmi.server.MarshalInputStream.latestUserDefinedLoader()";"0.0";"0.0 ms";"0.0 ms";"20.822 ms";"20.822 ms";"1"
"sun.misc.VM.latestUserDefinedLoader()";"0.0";"0.0 ms";"0.0 ms";"20.822 ms";"20.822 ms";"1"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.getAttributes()";"0.0";"0.0 ms";"0.0 ms";"12.937 ms";"12.937 ms";"1"
"avrora.sim.platform.Mica2.<init>()";"0.0";"0.0 ms";"0.0 ms";"22.251 ms";"22.251 ms";"1"
"avrora.sim.platform.Mica2.addDevices()";"0.0";"0.0 ms";"0.0 ms";"22.251 ms";"22.251 ms";"1"
"avrora.sim.platform.LED.<init>()";"0.0";"0.0 ms";"0.0 ms";"22.251 ms";"22.251 ms";"1"
"avrora.sim.FiniteStateMachine.<init>()";"0.0";"0.0 ms";"0.0 ms";"22.251 ms";"22.251 ms";"1"
"avrora.sim.mcu.ATMegaFamily.buildPort()";"0.0";"0.0 ms";"0.0 ms";"20.217 ms";"20.217 ms";"1"
"avrora.sim.mcu.AtmelMicrocontroller.getPin()";"0.0";"0.0 ms";"0.0 ms";"20.217 ms";"20.217 ms";"1"
"cck.elf.ELFDataInputStream.read_Elf32_Off()";"0.0";"0.0 ms";"0.0 ms";"19.134 ms";"19.134 ms";"1"
"com.sun.jmx.mbeanserver.JmxMBeanServer.getAttributes()";"0.0";"0.0 ms";"0.0 ms";"12.937 ms";"12.937 ms";"1"
"java.lang.ref.Finalizer$FinalizerThread.run()";"0.0";"0.0 ms";"0.0 ms";"344373.878 ms";"0.0 ms";"1"
"avrora.sim.clock.RippleSynchronizer.removeNode()";"0.0";"0.0 ms";"0.0 ms";"28.657 ms";"0.0 ms";"1"
"sun.rmi.server.UnicastRef.unmarshalValue()";"0.0";"0.0 ms";"0.0 ms";"19.919 ms";"19.919 ms";"1"
"java.io.ObjectInputStream.readOrdinaryObject()";"0.0";"0.0 ms";"0.0 ms";"19.919 ms";"19.919 ms";"1"
"java.rmi.server.RMIClassLoader.loadClass()";"0.0";"0.0 ms";"0.0 ms";"19.919 ms";"19.919 ms";"1"
"java.lang.ref.Reference.tryHandlePending()";"0.0";"0.0 ms";"0.0 ms";"344373.878 ms";"0.0 ms";"1"
"java.lang.ref.Reference$ReferenceHandler.run()";"0.0";"0.0 ms";"0.0 ms";"344373.878 ms";"0.0 ms";"1"
"java.rmi.server.RMIClassLoader$2.loadClass()";"0.0";"0.0 ms";"0.0 ms";"19.919 ms";"19.919 ms";"1"
"avrora.Main.checkFilesExist()";"0.0";"0.0 ms";"0.0 ms";"20.458 ms";"20.458 ms";"1"
"java.lang.Class.forName()";"0.0";"0.0 ms";"0.0 ms";"19.919 ms";"19.919 ms";"1"
"java.lang.StringBuffer.<init>()";"0.0";"0.0 ms";"0.0 ms";"20.042 ms";"20.042 ms";"1"
"java.util.TreeMap.put()";"0.0";"0.0 ms";"0.0 ms";"18.925 ms";"18.925 ms";"1"
"java.rmi.MarshalledObject.get()";"0.0";"0.0 ms";"0.0 ms";"20.822 ms";"20.822 ms";"1"
"avrora.arch.legacy.LegacyDisassembler.decode_31()";"0.0";"0.0 ms";"0.0 ms";"20.189 ms";"20.189 ms";"1"
"avrora.arch.legacy.LegacyDisassembler.decode_30()";"0.0";"0.0 ms";"0.0 ms";"20.189 ms";"20.189 ms";"1"
"com.sun.jmx.mbeanserver.Repository.retrieveNamedObject()";"0.0";"0.0 ms";"0.0 ms";"12.937 ms";"12.937 ms";"1"
"java.util.AbstractSet.equals()";"0.0";"0.0 ms";"0.0 ms";"20.306 ms";"20.306 ms";"1"
"java.util.Collections$UnmodifiableSet.equals()";"0.0";"0.0 ms";"0.0 ms";"20.306 ms";"20.306 ms";"1"
"java.io.ObjectOutputStream$BlockDataOutputStream.write()";"0.0";"0.0 ms";"0.0 ms";"19.357 ms";"19.357 ms";"1"
"sun.reflect.GeneratedMethodAccessor39.invoke()";"0.0";"0.0 ms";"0.0 ms";"23.255 ms";"23.255 ms";"1"
