sep=;
"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"java.io.FileOutputStream.writeBytes[native]()";"9.881663E-4";"49.179 ms";"49.179 ms";"49.179 ms";"49.179 ms";"3"
"java.util.TreeMap.getEntry()";"8.910154E-4";"44.344 ms";"44.344 ms";"44.344 ms";"44.344 ms";"2"
"java.util.HashMap.getNode()";"8.49342E-4";"42.27 ms";"42.27 ms";"42.27 ms";"42.27 ms";"2"
"cck.text.StringUtil.toHex()";"8.432336E-4";"41.966 ms";"41.966 ms";"98.521 ms";"98.521 ms";"5"
"cck.text.StringUtil.space()";"8.427112E-4";"41.94 ms";"41.94 ms";"41.94 ms";"41.94 ms";"2"
"java.lang.Thread.start0[native]()";"8.345935E-4";"41.536 ms";"41.536 ms";"41.536 ms";"41.536 ms";"2"
"avrora.sim.radio.Medium$Probe$List.fireAfterReceive()";"7.9637615E-4";"39.634 ms";"39.634 ms";"39.634 ms";"39.634 ms";"2"
"java.lang.StringBuffer.append()";"7.9251826E-4";"39.442 ms";"39.442 ms";"122.524 ms";"122.524 ms";"6"
"avrora.sim.clock.DeltaQueue$Link.fire()";"7.8566646E-4";"39.101 ms";"39.101 ms";"1914279.867 ms";"237129.962 ms";"12671"
"avrora.arch.legacy.LegacyInterpreter.sleepLoop()";"7.851842E-4";"39.077 ms";"39.077 ms";"1841077.691 ms";"192212.906 ms";"9216"
"cck.text.StringUtil.convertToHex()";"7.7815156E-4";"38.727 ms";"38.727 ms";"56.555 ms";"56.555 ms";"3"
"java.io.WinNTFileSystem.delete0[native]()";"7.137125E-4";"35.52 ms";"35.52 ms";"35.52 ms";"35.52 ms";"5"
"java.lang.Object.clone[native]()";"4.887082E-4";"24.322 ms";"24.322 ms";"24.322 ms";"24.322 ms";"2"
"sun.management.OperatingSystemImpl.getProcessCpuTime[native]()";"4.672687E-4";"23.255 ms";"23.255 ms";"23.255 ms";"23.255 ms";"1"
"avrora.core.Program.<init>()";"4.5549404E-4";"22.669 ms";"22.669 ms";"41.994 ms";"41.994 ms";"2"
"avrora.sim.FiniteStateMachine.buildUniformTTM()";"4.4709505E-4";"22.251 ms";"22.251 ms";"22.251 ms";"22.251 ms";"1"
"avrora.arch.legacy.LegacyInstr$SBC.accept()";"4.2306352E-4";"21.055 ms";"21.055 ms";"21.055 ms";"21.055 ms";"1"
"java.lang.String.<init>()";"4.1886405E-4";"20.846 ms";"20.846 ms";"38.674 ms";"38.674 ms";"2"
